,Title,Topics,Weakness,Review_Rating
0,"""What Data Benefits My Classifier?"" Enhancing Model Performance and Interpretability through Influence-Based Data Selection","Interpretability, Explainability, and Evaluation",Clarity and Readability Issues,6.5
1,"A Real-World WebAgent with Planning, Long Context Understanding, and Program Synthesis",Large Language Models and Language Modeling,Clarity and Readability Issues,7.0
2,ASID: Active Exploration for System Identification in Robotic Manipulation,Unclassified,Clarity and Readability Issues,6.75
3,Accelerating Distributed Stochastic Optimization via Self-Repellent Random Walks,Optimization and Training Techniques,Methodological Concerns and Theoretical Justifications,7.333333333333333
4,Amortizing intractable inference in large language models,Large Language Models and Language Modeling,Clarity and Readability Issues,7.75
5,An Analytical Solution to Gauss-Newton Loss for Direct Image Alignment,"Fairness, Ethics, and Privacy",Clarity and Readability Issues,7.333333333333333
6,Approximating Nash Equilibria in Normal-Form Games via Stochastic Optimization,Optimization and Training Techniques,Clarity and Readability Issues,8.0
7,Batched Low-Rank Adaptation of Foundation Models,Unclassified,Clarity and Readability Issues,8.0
8,Beyond Weisfeiler-Lehman: A Quantitative Framework for GNN Expressiveness,Graph Neural Networks and Graph Theory,Experimental Weaknesses and Limitations,8.5
9,BooookScore: A systematic exploration of book-length summarization in the era of LLMs,Large Language Models and Language Modeling,Experimental Weaknesses and Limitations,8.5
10,Cameras as Rays: Pose Estimation via Ray Diffusion,Computer Vision and 3D Modeling,Clarity and Readability Issues,6.5
11,Candidate Label Set Pruning: A Data-centric Perspective for Deep Partial-label Learning,Unclassified,Missing Related Work and Comparisons,8.0
12,ClimODE: Climate and Weather Forecasting with Physics-informed Neural ODEs,Climate and Weather Modeling,Clarity and Readability Issues,8.0
13,"Detecting, Explaining, and Mitigating Memorization in Diffusion Models",Diffusion Models and Generative Modeling,Clarity and Readability Issues,8.0
14,Diffusion Model for Dense Matching,Diffusion Models and Generative Modeling,Need for Additional Analysis or Discussion,8.0
15,DreamGaussian: Generative Gaussian Splatting for Efficient 3D Content Creation,Unclassified,Clarity and Readability Issues,8.5
16,Efficient Episodic Memory Utilization of Cooperative Multi-Agent Reinforcement Learning,Reinforcement Learning and Control,Clarity and Readability Issues,6.0
17,ExeDec: Execution Decomposition for Compositional Generalization in Neural Program Synthesis,Program Synthesis and Theorem Proving,Clarity and Readability Issues,7.0
18,"Fine-tuning Aligned Language Models Compromises Safety, Even When Users Do Not Intend To!",Large Language Models and Language Modeling,Missing Related Work and Comparisons,7.0
19,Finetuning Text-to-Image Diffusion Models for Fairness,Diffusion Models and Generative Modeling,Experimental Weaknesses and Limitations,7.333333333333333
20,Flow Matching on General Geometries,Diffusion Models and Generative Modeling,Experimental Weaknesses and Limitations,8.0
21,GNNCert: Deterministic Certification of Graph Neural Networks against Adversarial Perturbations,Graph Neural Networks and Graph Theory,Clarity and Readability Issues,8.0
22,Gene Regulatory Network Inference in the Presence of Dropouts: a Causal View,Causal Discovery and Inference in Reinforcement Learning,Methodological Concerns and Theoretical Justifications,7.333333333333333
23,Generalization in diffusion models arises from geometry-adaptive harmonic representations,Diffusion Models and Generative Modeling,Missing Related Work and Comparisons,8.5
24,Generative Modeling with Phase Stochastic Bridge,Diffusion Models and Generative Modeling,Experimental Weaknesses and Limitations,8.0
25,Ghost on the Shell: An Expressive Representation of General 3D Shapes,Unclassified,Experimental Weaknesses and Limitations,7.25
26,Graph Neural Networks for Learning Equivariant Representations of Neural Networks,Graph Neural Networks and Graph Theory,Missing Related Work and Comparisons,7.333333333333333
27,How I Warped Your Noise: a Temporally-Correlated Noise Prior for Diffusion Models,Diffusion Models and Generative Modeling,Missing Related Work and Comparisons,7.5
28,How Well Do Supervised 3D Models Transfer to Medical Imaging Tasks?,Medical and Biological Applications,Experimental Weaknesses and Limitations,6.75
29,Improved Active Learning via Dependent Leverage Score Sampling,"Active, Continual, and Meta Learning",Clarity and Readability Issues,7.5
30,Improved Techniques for Training Consistency Models,Diffusion Models and Generative Modeling,Methodological Concerns and Theoretical Justifications,7.0
31,Improving Convergence and Generalization Using Parameter Symmetries,Optimization and Training Techniques,Clarity and Readability Issues,7.5
32,InfoBatch: Lossless Training Speed Up by Unbiased Dynamic Data Pruning,Optimization and Training Techniques,Missing Related Work and Comparisons,7.333333333333333
33,Interpreting CLIP's Image Representation via Text-Based Decomposition,"Interpretability, Explainability, and Evaluation",Experimental Weaknesses and Limitations,8.0
34,Is ImageNet worth 1 video? Learning strong image encoders from 1 long unlabelled video,Optimization and Training Techniques,Experimental Weaknesses and Limitations,7.0
35,Knowledge Card: Filling LLMs' Knowledge Gaps with Plug-in Specialized Language Models,Large Language Models and Language Modeling,Clarity and Readability Issues,8.0
