,Title,Topics,Weakness,Review_Rating
0,3D generation on ImageNet,Dataset Condensation and Distillation,Missing Related Work and Comparisons,5.0
1,A Call to Reflect on Evaluation Practices for Failure Detection in Image Classification,"Interpretability, Explainability, and Evaluation",Experimental Weaknesses and Limitations,8.666666666666666
2,A Kernel Perspective of Skip Connections in Convolutional Networks,Unclassified,Methodological Concerns and Theoretical Justifications,7.0
3,Addressing Parameter Choice Issues in Unsupervised Domain Adaptation by Aggregation,Biological Applications in AI,Methodological Concerns and Theoretical Justifications,6.666666666666667
4,Agree to Disagree: Diversity through Disagreement for Better Transferability,Ensembling and Generalization,Methodological Concerns and Theoretical Justifications,8.0
5,Aligning Model and Macaque Inferior Temporal Cortex Representations Improves Model-to-Human Behavioral Alignment and Adversarial Robustness,Computer Vision and 3D Modeling,Missing Related Work and Comparisons,8.0
6,AutoGT: Automated Graph Transformer Architecture Search,Transformers and Sequence Modeling,Clarity and Readability Issues,8.0
7,Betty: An Automatic Differentiation Library for Multilevel Optimization,Optimization and Training Techniques,Clarity and Readability Issues,8.666666666666666
8,Clean-image Backdoor: Attacking Multi-label Models with Poisoned Labels Only,Unclassified,Missing Related Work and Comparisons,6.0
9,Compressing multidimensional weather and climate data into neural networks,Climate and Weather Modeling,Experimental Weaknesses and Limitations,8.0
10,Conditional Antibody Design as 3D Equivariant Graph Translation,Unclassified,Clarity and Readability Issues,8.0
11,Confidence-Conditioned Value Functions for Offline Reinforcement Learning,Reinforcement Learning and Control,Clarity and Readability Issues,7.0
12,Confidential-PROFITT: Confidential PROof of FaIr Training of Trees,Optimization and Training Techniques,Experimental Weaknesses and Limitations,8.0
13,Crossformer: Transformer Utilizing Cross-Dimension Dependency for Multivariate Time Series Forecasting,Transformers and Sequence Modeling,Clarity and Readability Issues,7.0
14,DaxBench: Benchmarking Deformable Object Manipulation with Differentiable Physics,Unclassified,Missing Related Work and Comparisons,8.0
15,Dichotomy of Control: Separating What You Can Control from What You Cannot,Reinforcement Learning and Control,Missing Related Work and Comparisons,7.0
16,Do We Really Need Complicated Model Architectures For Temporal Networks?,Time Series and Temporal Modeling,Experimental Weaknesses and Limitations,7.333333333333333
17,Dr.Spider: A Diagnostic Evaluation Benchmark towards Text-to-SQL Robustness,"Interpretability, Explainability, and Evaluation",Clarity and Readability Issues,8.0
18,"Draft, Sketch, and Prove: Guiding Formal Theorem Provers with Informal Proofs",Unclassified,Clarity and Readability Issues,7.5
19,DreamFusion: Text-to-3D using 2D Diffusion,Diffusion Models and Generative Modeling,Missing Related Work and Comparisons,6.75
20,Efficient Attention via Control Variates,Reinforcement Learning and Control,Methodological Concerns and Theoretical Justifications,7.5
21,Efficient Conditionally Invariant Representation Learning,Self-Supervised Learning and Representation Learning,Experimental Weaknesses and Limitations,7.333333333333333
22,Efficiently Computing Nash Equilibria in Adversarial Team Markov Games,Optimization and Training Techniques,Clarity and Readability Issues,7.0
23,Embedding Fourier for Ultra-High-Definition Low-Light Image Enhancement,Unclassified,Missing Related Work and Comparisons,7.333333333333333
24,Emergent World Representations: Exploring a Sequence Model Trained on a Synthetic Task,Biological Applications in AI,Clarity and Readability Issues,7.5
25,Encoding Recurrence into Transformers,Transformers and Sequence Modeling,Missing Related Work and Comparisons,7.333333333333333
26,Extreme Q-Learning: MaxEnt RL without Entropy,Reinforcement Learning and Control,Missing Related Work and Comparisons,7.5
27,Fast and Precise: Adjusting Planning Horizon with Adaptive Subgoal Search,Simulation and Planning in Robotics,Clarity and Readability Issues,8.0
28,From Play to Policy: Conditional Behavior Generation from Uncurated Robot Data,Unclassified,Methodological Concerns and Theoretical Justifications,6.75
29,Git Re-Basin: Merging Models modulo Permutation Symmetries,Unclassified,Clarity and Readability Issues,8.666666666666666
30,Graph Neural Networks for Link Prediction with Subgraph Sketching,Graph Neural Networks and Graph Theory,Clarity and Readability Issues,8.5
31,Image as Set of Points,Clustering and Dimensionality Reduction,Clarity and Readability Issues,8.5
32,Image to Sphere: Learning Equivariant Features for Efficient Pose Prediction,Unclassified,Experimental Weaknesses and Limitations,7.0
33,In-context Reinforcement Learning with Algorithm Distillation,Large Language Models and Language Modeling,Clarity and Readability Issues,7.25
34,Is Conditional Generative Modeling all you need for Decision Making?,Diffusion Models and Generative Modeling,Missing Related Work and Comparisons,7.0
35,Is the Performance of My Deep Network Too Good to Be True? A Direct Approach to Estimating the Bayes Error in Binary Classification,Unclassified,Missing Related Work and Comparisons,7.25
36,Language Modelling with Pixels,Transformers and Sequence Modeling,Experimental Weaknesses and Limitations,7.333333333333333
37,Learnable Behavior Control: Breaking Atari Human World Records via Sample-Efficient Behavior Selection,Reinforcement Learning and Control,Clarity and Readability Issues,8.666666666666666
38,Learning on Large-scale Text-attributed Graphs via Variational Inference,Causal Discovery and Inference in Reinforcement Learning,Clarity and Readability Issues,7.5
39,Learning where and when to reason in neuro-symbolic inference,Causal Discovery and Inference in Reinforcement Learning,Clarity and Readability Issues,8.0
40,MICN: Multi-scale Local and Global Context Modeling for Long-term Series Forecasting,Unclassified,Clarity and Readability Issues,7.0
41,Mastering the Game of No-Press Diplomacy via Human-Regularized Reinforcement Learning and Planning,Reinforcement Learning and Control,Clarity and Readability Issues,8.0
42,Mitigating Gradient Bias in Multi-objective Learning: A Provably Convergent Approach,Optimization and Training Techniques,Missing Related Work and Comparisons,8.0
43,MocoSFL: enabling cross-client collaborative self-supervised learning,Self-Supervised Learning and Representation Learning,Experimental Weaknesses and Limitations,7.0
44,Modeling content creator incentives on algorithm-curated platforms,Unclassified,Clarity and Readability Issues,8.666666666666666
45,Moving Forward by Moving Backward: Embedding Action Impact over Action Semantics,Biological Applications in AI,Experimental Weaknesses and Limitations,7.666666666666667
