Unnamed: 0,Title,Keywords,Classification
0,A Closer Look at Deep Policy Gradients,...,Unclassified
1,A Generalized Training Approach for Multiagent Learning,AddPublic Comment,Optimization and Training Techniques
2,A Theory of Usable Information under Computational Constraints,...,Biological Applications in AI
3,Adversarial Training and Provable Defenses: Bridging the Gap,AddPublic Comment,Optimization and Training Techniques
4,BackPACK: Packing more into Backprop,...,Unclassified
5,Building Deep Equivariant Capsule Networks,AddPublic Comment,Unclassified
6,CATER: A diagnostic dataset for Compositional Actions & TEmporal Reasoning,AddPublic Comment,Time Series and Temporal Modeling
7,Causal Discovery with Reinforcement Learning,-''-,Reinforcement Learning and Control
8,Comparing Rewinding and Fine-tuning in Neural Network Pruning,"Keywords: pruning, sparsity, fine-tuning, lottery ticket",Unclassified
9,Contrastive Learning of Structured World Models,-''-,Unclassified
10,Convolutional Conditional Neural Processes,"Keywords: Neural Processes, Deep Sets, Translation Equivariance",Unclassified
11,Cyclical Stochastic Gradient MCMC for Bayesian Deep Learning,...,Unclassified
12,Data-dependent Gaussian Prior Objective for Language Generation,AddPublic Comment,Unclassified
13,"Deep Batch Active Learning by Diverse, Uncertain Gradient Lower Bounds",-''-,"Active, Continual, and Meta Learning"
14,Differentiable Reasoning over a Virtual Knowledge Base,"Keywords: Question Answering, Multi-Hop QA, Deep Learning, Knowledge Bases, Information Extraction, Data Structures for QA",Unclassified
15,Dynamics-Aware Unsupervised Discovery of Skills,-''-,Unclassified
16,Fast Task Inference with Variational Intrinsic Successor Features,...,Causal Discovery and Inference in Reinforcement Learning
17,Federated Learning with Matched Averaging,Keywords: federated learning,Federated Learning and Privacy
18,GenDICE: Generalized Offline Estimation of Stationary Values,AddPublic Comment,Unclassified
19,Geometric Analysis of Nonconvex Optimization Landscapes for Overcomplete Learning,...,Optimization and Training Techniques
20,Gradient Descent Maximizes the Margin of Homogeneous Neural Networks,"Keywords: margin, homogeneous, gradient descent",Unclassified
21,GraphZoom: A Multi-level Spectral Approach for Accurate and Scalable Graph Embedding,"Keywords: graph embedding, unsupervised learning, multi-level optimization, spectral graph theory",Graph Neural Networks and Graph Theory
22,Harnessing Structures for Value-Based Planning and Reinforcement Learning,-''-,Reinforcement Learning and Control
23,High Fidelity Speech Synthesis with Adversarial Networks,"Keywords: texttospeech, speechsynthesis, audiosynthesis, gans, generativeadversarialnetworks, implicitgenerativemodels",Audio and Speech Processing
24,Implementation Matters in Deep RL: A Case Study on PPO and TRPO,...,Unclassified
25,Intrinsically Motivated Discovery of Diverse Patterns in Self-Organizing Systems,AddPublic Comment,Unclassified
26,Learning Hierarchical Discrete Linguistic Units from Visually-Grounded Speech,"Keywords: visually-grounded speech, self-supervised learning, discrete representation learning, vision and language, vision and speech, hierarchical representation learning",Self-Supervised Learning and Representation Learning
