Unnamed: 0,Title,Keywords,Classification
0,A Fine-Grained Analysis on Distribution Shift,"Keywords: robustness, distribution shifts",Biological Applications in AI
1,"A New Perspective on ""How Graph Neural Networks Go Beyond Weisfeiler-Lehman?""","Keywords: Graph Neural Networks, Graph Isomorphism, Weisfeiler Lehman",Graph Neural Networks and Graph Theory
2,Analytic-DPM: an Analytic Estimate of the Optimal Reverse Variance in Diffusion Probabilistic Models,"Keywords: diffusion probabilistic models, generative models",Unclassified
3,Asymmetry Learning for Counterfactually-invariant Classification in OOD Tasks,"Keywords: out-of-distribution classification, symmetries, counterfactual invariances, geometric deep learning",Unclassified
4,BEiT: BERT Pre-Training of Image Transformers,"Keywords: self-supervised learning, pre-training, vision Transformer",Transformers and Sequence Modeling
5,Bootstrapped Meta-Learning,"Keywords: meta-learning, meta-gradients, meta-reinforcement learning",Reinforcement Learning and Control
6,Comparing Distributions by Measuring Differences that Affect Decision Making,"Keywords: probability divergence, two sample test, generative model",Unclassified
7,Coordination Among Neural Modules Through a Shared Global Workspace,"Keywords: slot based recurrent architectures, attention, transformers, latent bottleneck.",Transformers and Sequence Modeling
8,CycleMLP: A MLP-like Architecture for Dense Prediction,"Keywords: MLP, Dense Prediction",Unclassified
9,DISCOVERING AND EXPLAINING THE REPRESENTATION BOTTLENECK OF DNNS,"Keywords: representation bottleneck, representation ability, interaction, explanation",Biological Applications in AI
10,Data-Efficient Graph Grammar Learning for Molecular Generation,"Keywords: molecular generation, graph grammar, data efficient generative model",Unclassified
11,Diffusion-Based Voice Conversion with Fast Maximum Likelihood Sampling Scheme,"Keywords: speech, voice conversion, diffusion models, stochastic differential equations",Diffusion Models and Generative Modeling
12,Domino: Discovering Systematic Errors with Cross-Modal Embeddings,"Keywords: robustness, subgroup analysis, error analysis, multimodal, slice discovery",Multimodal Learning and Vision-Language Models
13,Efficiently Modeling Long Sequences with Structured State Spaces,"Keywords: sequence models, state space, RNN, CNN, Long Range Arena",Unclassified
14,Einops: Clear and Reliable Tensor Manipulations with Einstein-like Notation,"Keywords: tensor manipulations, tensor transformation, einops, einstein notation, einsum",Unclassified
15,Expressiveness and Approximation Properties of Graph Neural Networks,"Keywords: Graph Neural Networks, Colour Refinement, Weisfeiler-Leman, Separation Power, Universality",Graph Neural Networks and Graph Theory
16,Extending the WILDS Benchmark for Unsupervised Adaptation,"Keywords: distribution shifts, adaptation, unlabeled data",Unclassified
