,Title,Topics,Weakness,Review_Rating
0,A Distributional Approach to Controlled Text Generation,Reinforcement Learning and Control,Experimental Weaknesses and Limitations,7.333333333333333
1,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,Computer Vision and 3D Modeling,Missing Related Work and Comparisons,7.0
2,Augmenting Physical Models with Deep Networks for Complex Dynamics Forecasting,Time Series and Temporal Modeling,Clarity and Readability Issues,8.0
3,Co-Mixup: Saliency Guided Joint Mixup with Supermodular Diversity,Optimization and Training Techniques,Clarity and Readability Issues,7.0
4,Complex Query Answering with Neural Link Predictors,Unclassified,Clarity and Readability Issues,8.0
5,Contrastive Explanations for Reinforcement Learning via Embedded Self Predictions,Reinforcement Learning and Control,Clarity and Readability Issues,7.333333333333333
6,Coupled Oscillatory Recurrent Neural Network (coRNN): An accurate and (gradient) stable architecture for learning long time dependencies,Unclassified,Clarity and Readability Issues,7.25
7,Dataset Condensation with Gradient Matching,"Data Selection, Pruning, and Condensation",Experimental Weaknesses and Limitations,8.333333333333334
8,Deep symbolic regression: Recovering mathematical expressions from data via risk-seeking policy gradients,Reinforcement Learning and Control,Clarity and Readability Issues,8.0
9,Deformable DETR: Deformable Transformers for End-to-End Object Detection,Transformers and Sequence Modeling,Clarity and Readability Issues,8.0
10,DiffWave: A Versatile Diffusion Model for Audio Synthesis,Diffusion Models and Generative Modeling,Missing Related Work and Comparisons,7.6
11,Do 2D GANs Know 3D Shape? Unsupervised 3D Shape Reconstruction from 2D Image GANs,Unclassified,Missing Related Work and Comparisons,7.666666666666667
12,EigenGame: PCA as a Nash Equilibrium,Unclassified,Missing Related Work and Comparisons,7.666666666666667
13,End-to-end Adversarial Text-to-Speech,Audio and Speech Processing,Clarity and Readability Issues,7.5
14,Evolving Reinforcement Learning Algorithms,Reinforcement Learning and Control,Clarity and Readability Issues,7.333333333333333
15,Federated Learning Based on Dynamic Regularization,Optimization and Training Techniques,Clarity and Readability Issues,7.25
16,Free Lunch for Few-shot Learning: Distribution Calibration,Unclassified,Missing Related Work and Comparisons,7.0
17,Geometry-aware Instance-reweighted Adversarial Training,Optimization and Training Techniques,Missing Related Work and Comparisons,7.666666666666667
18,Getting a CLUE: A Method for Explaining Uncertainty Estimates,"Interpretability, Explainability, and Evaluation",Clarity and Readability Issues,6.75
19,Global Convergence of Three-layer Neural Networks in the Mean Field Regime,Unclassified,Missing Related Work and Comparisons,7.5
20,Gradient Projection Memory for Continual Learning,Computer Vision and 3D Modeling,Clarity and Readability Issues,7.5
21,Growing Efficient Deep Networks by Structured Continuous Sparsification,Computer Vision and 3D Modeling,Clarity and Readability Issues,7.25
22,How Neural Networks Extrapolate: From Feedforward to Graph Neural Networks,Graph Neural Networks and Graph Theory,Missing Related Work and Comparisons,8.75
23,Human-Level Performance in No-Press Diplomacy via Equilibrium Search,Reinforcement Learning and Control,Clarity and Readability Issues,7.5
24,Image GANs meet Differentiable Rendering for Inverse Graphics and Interpretable 3D Neural Rendering,Unclassified,Experimental Weaknesses and Limitations,7.333333333333333
25,Improved Autoregressive Modeling with Distribution Smoothing,Unclassified,Clarity and Readability Issues,7.25
26,Iterated learning for emergent systematicity in VQA,Ensembling and Generalization,Clarity and Readability Issues,7.0
27,Learning Cross-Domain Correspondence for Control with Dynamics Cycle-Consistency,Reinforcement Learning and Control,Clarity and Readability Issues,7.75
28,Learning Generalizable Visual Representations via Interactive Gameplay,Reinforcement Learning and Control,Clarity and Readability Issues,8.25
29,Learning Invariant Representations for Reinforcement Learning without Reconstruction,Reinforcement Learning and Control,Clarity and Readability Issues,7.666666666666667
30,Learning to Reach Goals via Iterated Supervised Learning,Reinforcement Learning and Control,Clarity and Readability Issues,7.5
31,MONGOOSE: A Learnable LSH Framework for Efficient Neural Network Training,Optimization and Training Techniques,Clarity and Readability Issues,7.25
32,Neural Synthesis of Binaural Speech From Mono Audio,Audio and Speech Processing,Clarity and Readability Issues,7.666666666666667
33,On the mapping between Hopfield networks and Restricted Boltzmann Machines,Unclassified,Missing Related Work and Comparisons,8.0
34,Optimal Rates for Averaged Stochastic Gradient Descent under Neural Tangent Kernel Regime,Unclassified,Clarity and Readability Issues,7.6
35,Parrot: Data-Driven Behavioral Priors for Reinforcement Learning,Reinforcement Learning and Control,Clarity and Readability Issues,7.5
